city,latitude,longitude,date,sunrise,sunset,rain_sum,snowfall_sum,temperature_2m_min,temperature_2m_max
Paris,48.85341,2.3488,2023-01-01,2023-01-01T10:44,2023-01-01T19:04,2.0,0.0,11.9,15.2
Paris,48.85341,2.3488,2023-01-02,2023-01-02T10:44,2023-01-02T19:05,7.4,0.0,7.1,15.5
Paris,48.85341,2.3488,2023-01-03,2023-01-03T10:43,2023-01-03T19:06,0.5,0.0,5.7,9.9
Paris,48.85341,2.3488,2023-01-04,2023-01-04T10:43,2023-01-04T19:07,3.9,0.0,9.5,13.0
Paris,48.85341,2.3488,2023-01-05,2023-01-05T10:43,2023-01-05T19:08,0.4,0.0,11.4,13.8
Paris,48.85341,2.3488,2023-01-06,2023-01-06T10:43,2023-01-06T19:09,0.0,0.0,9.8,13.0
Paris,48.85341,2.3488,2023-01-07,2023-01-07T10:42,2023-01-07T19:10,1.2,0.0,6.3,11.2
Paris,48.85341,2.3488,2023-01-08,2023-01-08T10:42,2023-01-08T19:12,4.4,0.0,8.2,10.6
Paris,48.85341,2.3488,2023-01-09,2023-01-09T10:42,2023-01-09T19:13,0.8,0.0,5.8,8.3
Paris,48.85341,2.3488,2023-01-10,2023-01-10T10:41,2023-01-10T19:14,2.8,0.0,4.0,11.4
Paris,48.85341,2.3488,2023-01-11,2023-01-11T10:41,2023-01-11T19:15,9.3,0.0,8.9,12.4
Paris,48.85341,2.3488,2023-01-12,2023-01-12T10:40,2023-01-12T19:17,0.5,0.0,9.2,12.0
Paris,48.85341,2.3488,2023-01-13,2023-01-13T10:40,2023-01-13T19:18,2.2,0.0,7.4,11.3
Paris,48.85341,2.3488,2023-01-14,2023-01-14T10:39,2023-01-14T19:20,6.8,0.0,7.2,12.6
Paris,48.85341,2.3488,2023-01-15,2023-01-15T10:38,2023-01-15T19:21,5.0,0.0,5.0,10.6
Paris,48.85341,2.3488,2023-01-16,2023-01-16T10:38,2023-01-16T19:22,9.2,0.0,2.5,6.6
Paris,48.85341,2.3488,2023-01-17,2023-01-17T10:37,2023-01-17T19:24,3.7,0.0,-0.4,3.3
Paris,48.85341,2.3488,2023-01-18,2023-01-18T10:36,2023-01-18T19:25,0.0,0.07,-1.7,5.0
Paris,48.85341,2.3488,2023-01-19,2023-01-19T10:35,2023-01-19T19:27,1.0,2.17,-1.1,3.4
Paris,48.85341,2.3488,2023-01-20,2023-01-20T10:34,2023-01-20T19:28,0.2,0.0,-1.5,6.0
Paris,48.85341,2.3488,2023-01-21,2023-01-21T10:33,2023-01-21T19:30,0.1,0.0,-1.4,3.7
Paris,48.85341,2.3488,2023-01-22,2023-01-22T10:32,2023-01-22T19:31,0.0,0.0,-1.5,3.2
Paris,48.85341,2.3488,2023-01-23,2023-01-23T10:31,2023-01-23T19:33,0.0,0.0,0.5,3.6
Paris,48.85341,2.3488,2023-01-24,2023-01-24T10:30,2023-01-24T19:34,0.0,0.0,-1.2,3.6
Paris,48.85341,2.3488,2023-01-25,2023-01-25T10:29,2023-01-25T19:36,0.0,0.0,0.8,2.6
Paris,48.85341,2.3488,2023-01-26,2023-01-26T10:28,2023-01-26T19:37,0.5,0.0,0.2,4.6
Paris,48.85341,2.3488,2023-01-27,2023-01-27T10:27,2023-01-27T19:39,0.4,0.0,3.3,4.7
Paris,48.85341,2.3488,2023-01-28,2023-01-28T10:26,2023-01-28T19:41,0.0,0.0,-0.6,3.7
Paris,48.85341,2.3488,2023-01-29,2023-01-29T10:24,2023-01-29T19:42,0.0,0.0,-3.3,4.8
Paris,48.85341,2.3488,2023-01-30,2023-01-30T10:23,2023-01-30T19:44,0.0,0.0,3.5,9.0
Paris,48.85341,2.3488,2023-01-31,2023-01-31T10:22,2023-01-31T19:46,0.0,0.0,0.5,8.1
Paris,48.85341,2.3488,2023-02-01,2023-02-01T10:20,2023-02-01T19:47,0.0,0.0,6.3,9.8
Paris,48.85341,2.3488,2023-02-02,2023-02-02T10:19,2023-02-02T19:49,0.0,0.0,4.7,10.6
Paris,48.85341,2.3488,2023-02-03,2023-02-03T10:18,2023-02-03T19:50,0.0,0.0,6.8,10.1
Paris,48.85341,2.3488,2023-02-04,2023-02-04T10:16,2023-02-04T19:52,0.5,0.0,7.1,10.9
Paris,48.85341,2.3488,2023-02-05,2023-02-05T10:15,2023-02-05T19:54,0.1,0.0,4.6,9.4
Paris,48.85341,2.3488,2023-02-06,2023-02-06T10:13,2023-02-06T19:55,0.0,0.0,0.4,6.9
Paris,48.85341,2.3488,2023-02-07,2023-02-07T10:12,2023-02-07T19:57,0.0,0.0,-0.8,6.2
Paris,48.85341,2.3488,2023-02-08,2023-02-08T10:10,2023-02-08T19:59,0.0,0.0,-3.7,6.0
Paris,48.85341,2.3488,2023-02-09,2023-02-09T10:09,2023-02-09T20:00,0.0,0.0,-5.0,6.9
Paris,48.85341,2.3488,2023-02-10,2023-02-10T10:07,2023-02-10T20:02,0.0,0.0,-0.4,9.6
Paris,48.85341,2.3488,2023-02-11,2023-02-11T10:06,2023-02-11T20:04,0.0,0.0,-0.5,8.7
Paris,48.85341,2.3488,2023-02-12,2023-02-12T10:04,2023-02-12T20:05,0.0,0.0,6.1,9.3
Paris,48.85341,2.3488,2023-02-13,2023-02-13T10:02,2023-02-13T20:07,0.0,0.0,-0.9,11.8
Paris,48.85341,2.3488,2023-02-14,2023-02-14T10:00,2023-02-14T20:08,0.0,0.0,-0.2,12.0
Paris,48.85341,2.3488,2023-02-15,2023-02-15T09:59,2023-02-15T20:10,0.0,0.0,-0.7,12.8
Paris,48.85341,2.3488,2023-02-16,2023-02-16T09:57,2023-02-16T20:12,1.3,0.0,3.9,11.5
Paris,48.85341,2.3488,2023-02-17,2023-02-17T09:55,2023-02-17T20:13,0.3,0.0,10.7,14.7
Paris,48.85341,2.3488,2023-02-18,2023-02-18T09:53,2023-02-18T20:15,0.1,0.0,9.3,12.5
Paris,48.85341,2.3488,2023-02-19,2023-02-19T09:51,2023-02-19T20:17,0.0,0.0,6.5,11.9
Paris,48.85341,2.3488,2023-02-20,2023-02-20T09:50,2023-02-20T20:18,0.0,0.0,2.6,12.0
Paris,48.85341,2.3488,2023-02-21,2023-02-21T09:48,2023-02-21T20:20,0.0,0.0,0.7,13.9
Paris,48.85341,2.3488,2023-02-22,2023-02-22T09:46,2023-02-22T20:22,5.4,0.0,6.7,10.5
Paris,48.85341,2.3488,2023-02-23,2023-02-23T09:44,2023-02-23T20:23,0.2,0.0,5.4,10.1
Paris,48.85341,2.3488,2023-02-24,2023-02-24T09:42,2023-02-24T20:25,0.0,0.0,4.7,10.5
Paris,48.85341,2.3488,2023-02-25,2023-02-25T09:40,2023-02-25T20:26,0.0,0.0,1.6,7.8
Paris,48.85341,2.3488,2023-02-26,2023-02-26T09:38,2023-02-26T20:28,0.0,0.0,-0.9,5.1
Paris,48.85341,2.3488,2023-02-27,2023-02-27T09:36,2023-02-27T20:30,0.0,0.0,-1.4,6.4
Paris,48.85341,2.3488,2023-02-28,2023-02-28T09:35,2023-02-28T20:31,0.0,0.0,-2.4,5.1
Paris,48.85341,2.3488,2023-03-01,2023-03-01T09:33,2023-03-01T20:33,0.0,0.0,-2.3,7.3
Paris,48.85341,2.3488,2023-03-02,2023-03-02T09:31,2023-03-02T20:34,0.0,0.0,-2.2,9.4
Paris,48.85341,2.3488,2023-03-03,2023-03-03T09:29,2023-03-03T20:36,0.0,0.0,-0.2,9.1
Paris,48.85341,2.3488,2023-03-04,2023-03-04T09:27,2023-03-04T20:38,0.0,0.0,-1.1,6.7
Paris,48.85341,2.3488,2023-03-05,2023-03-05T09:25,2023-03-05T20:39,0.3,0.0,3.0,7.2
Paris,48.85341,2.3488,2023-03-06,2023-03-06T09:23,2023-03-06T20:41,0.6,0.0,1.8,7.6
Paris,48.85341,2.3488,2023-03-07,2023-03-07T09:21,2023-03-07T20:42,0.1,0.0,3.3,8.8
Paris,48.85341,2.3488,2023-03-08,2023-03-08T09:18,2023-03-08T20:44,16.0,0.0,5.5,14.1
Paris,48.85341,2.3488,2023-03-09,2023-03-09T09:16,2023-03-09T20:45,8.3,0.0,8.9,14.6
Paris,48.85341,2.3488,2023-03-10,2023-03-10T09:14,2023-03-10T20:47,2.0,0.0,4.9,11.3
Paris,48.85341,2.3488,2023-03-11,2023-03-11T09:12,2023-03-11T20:48,1.9,0.35,1.3,7.3
Paris,48.85341,2.3488,2023-03-12,2023-03-12T09:10,2023-03-12T20:50,3.2,0.0,6.4,14.2
Paris,48.85341,2.3488,2023-03-13,2023-03-13T09:08,2023-03-13T20:52,4.2,0.0,11.9,15.8
Paris,48.85341,2.3488,2023-03-14,2023-03-14T09:06,2023-03-14T20:53,5.4,0.0,4.4,11.0
Paris,48.85341,2.3488,2023-03-15,2023-03-15T09:04,2023-03-15T20:55,0.4,0.0,2.2,10.8
Paris,48.85341,2.3488,2023-03-16,2023-03-16T09:02,2023-03-16T20:56,0.0,0.0,4.9,15.8
Paris,48.85341,2.3488,2023-03-17,2023-03-17T09:00,2023-03-17T20:58,7.1,0.0,8.0,15.9
Paris,48.85341,2.3488,2023-03-18,2023-03-18T08:58,2023-03-18T20:59,5.7,0.0,8.7,15.2
Paris,48.85341,2.3488,2023-03-19,2023-03-19T08:56,2023-03-19T21:01,2.0,0.0,4.7,11.1
Paris,48.85341,2.3488,2023-03-20,2023-03-20T08:54,2023-03-20T21:02,0.0,0.0,1.9,13.2
