city,latitude,longitude,time,weather_code,rain,temperature_2m,cloud_cover
Tokyo,35.6895,139.69171,2025-07-04T00:00,1,0.0,24.5,25
Tokyo,35.6895,139.69171,2025-07-04T01:00,1,0.0,25.5,32
Tokyo,35.6895,139.69171,2025-07-04T02:00,1,0.0,26.5,39
Tokyo,35.6895,139.69171,2025-07-04T03:00,1,0.0,28.2,30
Tokyo,35.6895,139.69171,2025-07-04T04:00,1,0.0,29.2,32
Tokyo,35.6895,139.69171,2025-07-04T05:00,1,0.0,29.7,34
Tokyo,35.6895,139.69171,2025-07-04T06:00,1,0.0,30.4,31
Tokyo,35.6895,139.69171,2025-07-04T07:00,1,0.0,31.0,25
Tokyo,35.6895,139.69171,2025-07-04T08:00,1,0.0,31.2,22
Tokyo,35.6895,139.69171,2025-07-04T09:00,0,0.0,31.0,10
Tokyo,35.6895,139.69171,2025-07-04T10:00,0,0.0,30.1,15
Tokyo,35.6895,139.69171,2025-07-04T11:00,0,0.0,29.1,15
Tokyo,35.6895,139.69171,2025-07-04T12:00,1,0.0,28.1,22
Tokyo,35.6895,139.69171,2025-07-04T13:00,1,0.0,27.2,26
Tokyo,35.6895,139.69171,2025-07-04T14:00,1,0.0,26.5,37
Tokyo,35.6895,139.69171,2025-07-04T15:00,1,0.0,26.1,40
Tokyo,35.6895,139.69171,2025-07-04T16:00,1,0.0,25.9,46
Tokyo,35.6895,139.69171,2025-07-04T17:00,1,0.0,25.6,37
Tokyo,35.6895,139.69171,2025-07-04T18:00,1,0.0,25.3,32
Tokyo,35.6895,139.69171,2025-07-04T19:00,1,0.0,25.0,38
Tokyo,35.6895,139.69171,2025-07-04T20:00,2,0.0,24.6,69
Tokyo,35.6895,139.69171,2025-07-04T21:00,1,0.0,24.4,33
Tokyo,35.6895,139.69171,2025-07-04T22:00,2,0.0,24.2,79
Tokyo,35.6895,139.69171,2025-07-04T23:00,2,0.0,24.0,62
Tokyo,35.6895,139.69171,2025-07-05T00:00,2,0.0,24.2,67
Tokyo,35.6895,139.69171,2025-07-05T01:00,2,0.0,24.9,56
Tokyo,35.6895,139.69171,2025-07-05T02:00,1,0.0,25.9,49
Tokyo,35.6895,139.69171,2025-07-05T03:00,1,0.0,27.3,42
Tokyo,35.6895,139.69171,2025-07-05T04:00,1,0.0,28.2,44
Tokyo,35.6895,139.69171,2025-07-05T05:00,1,0.0,29.1,35
Tokyo,35.6895,139.69171,2025-07-05T06:00,1,0.0,30.3,43
Tokyo,35.6895,139.69171,2025-07-05T07:00,1,0.0,31.2,49
Tokyo,35.6895,139.69171,2025-07-05T08:00,2,0.0,31.5,63
Tokyo,35.6895,139.69171,2025-07-05T09:00,2,0.0,31.3,63
Tokyo,35.6895,139.69171,2025-07-05T10:00,1,0.0,30.9,45
Tokyo,35.6895,139.69171,2025-07-05T11:00,1,0.0,30.6,32
Tokyo,35.6895,139.69171,2025-07-05T12:00,1,0.0,30.0,27
Tokyo,35.6895,139.69171,2025-07-05T13:00,1,0.0,28.8,29
Tokyo,35.6895,139.69171,2025-07-05T14:00,1,0.0,27.9,36
Tokyo,35.6895,139.69171,2025-07-05T15:00,1,0.0,27.2,35
Tokyo,35.6895,139.69171,2025-07-05T16:00,1,0.0,26.6,31
Tokyo,35.6895,139.69171,2025-07-05T17:00,1,0.0,26.1,27
Tokyo,35.6895,139.69171,2025-07-05T18:00,1,0.0,25.7,25
Tokyo,35.6895,139.69171,2025-07-05T19:00,1,0.0,25.4,21
Tokyo,35.6895,139.69171,2025-07-05T20:00,1,0.0,25.0,20
Tokyo,35.6895,139.69171,2025-07-05T21:00,0,0.0,24.6,18
Tokyo,35.6895,139.69171,2025-07-05T22:00,0,0.0,24.4,18
Tokyo,35.6895,139.69171,2025-07-05T23:00,3,0.0,24.3,84
Tokyo,35.6895,139.69171,2025-07-06T00:00,3,0.0,24.7,98
Tokyo,35.6895,139.69171,2025-07-06T01:00,2,0.0,25.5,64
Tokyo,35.6895,139.69171,2025-07-06T02:00,1,0.0,27.1,22
Tokyo,35.6895,139.69171,2025-07-06T03:00,0,0.0,28.9,11
Tokyo,35.6895,139.69171,2025-07-06T04:00,0,0.0,30.6,9
Tokyo,35.6895,139.69171,2025-07-06T05:00,0,0.0,31.8,8
Tokyo,35.6895,139.69171,2025-07-06T06:00,0,0.0,32.3,6
Tokyo,35.6895,139.69171,2025-07-06T07:00,0,0.0,32.7,7
Tokyo,35.6895,139.69171,2025-07-06T08:00,0,0.0,33.0,8
Tokyo,35.6895,139.69171,2025-07-06T09:00,0,0.0,33.0,7
Tokyo,35.6895,139.69171,2025-07-06T10:00,0,0.0,32.7,9
Tokyo,35.6895,139.69171,2025-07-06T11:00,0,0.0,32.0,11
Tokyo,35.6895,139.69171,2025-07-06T12:00,0,0.0,30.3,19
Tokyo,35.6895,139.69171,2025-07-06T13:00,0,0.0,28.9,18
Tokyo,35.6895,139.69171,2025-07-06T14:00,1,0.0,27.9,30
Tokyo,35.6895,139.69171,2025-07-06T15:00,1,0.0,27.2,20
Tokyo,35.6895,139.69171,2025-07-06T16:00,1,0.0,26.8,34
Tokyo,35.6895,139.69171,2025-07-06T17:00,1,0.0,26.4,41
Tokyo,35.6895,139.69171,2025-07-06T18:00,1,0.0,26.1,41
Tokyo,35.6895,139.69171,2025-07-06T19:00,1,0.0,25.9,37
Tokyo,35.6895,139.69171,2025-07-06T20:00,1,0.0,25.7,36
Tokyo,35.6895,139.69171,2025-07-06T21:00,1,0.0,25.5,31
Tokyo,35.6895,139.69171,2025-07-06T22:00,1,0.0,25.2,34
Tokyo,35.6895,139.69171,2025-07-06T23:00,1,0.0,25.0,28
Tokyo,35.6895,139.69171,2025-07-07T00:00,1,0.0,25.5,22
Tokyo,35.6895,139.69171,2025-07-07T01:00,1,0.0,26.7,26
Tokyo,35.6895,139.69171,2025-07-07T02:00,1,0.0,28.2,35
Tokyo,35.6895,139.69171,2025-07-07T03:00,1,0.0,29.5,35
Tokyo,35.6895,139.69171,2025-07-07T04:00,1,0.0,31.0,32
Tokyo,35.6895,139.69171,2025-07-07T05:00,1,0.0,32.2,28
Tokyo,35.6895,139.69171,2025-07-07T06:00,1,0.0,32.5,28
Tokyo,35.6895,139.69171,2025-07-07T07:00,1,0.0,32.4,22
Tokyo,35.6895,139.69171,2025-07-07T08:00,0,0.0,33.0,17
Tokyo,35.6895,139.69171,2025-07-07T09:00,0,0.0,33.2,15
Tokyo,35.6895,139.69171,2025-07-07T10:00,3,0.0,31.9,76
Tokyo,35.6895,139.69171,2025-07-07T11:00,3,0.0,31.1,79
Tokyo,35.6895,139.69171,2025-07-07T12:00,3,0.0,30.3,82
Tokyo,35.6895,139.69171,2025-07-07T13:00,3,0.0,29.5,84
Tokyo,35.6895,139.69171,2025-07-07T14:00,3,0.0,28.5,85
Tokyo,35.6895,139.69171,2025-07-07T15:00,3,0.0,27.8,87
Tokyo,35.6895,139.69171,2025-07-07T16:00,3,0.0,27.3,87
Tokyo,35.6895,139.69171,2025-07-07T17:00,3,0.0,27.0,86
Tokyo,35.6895,139.69171,2025-07-07T18:00,3,0.0,26.7,86
Tokyo,35.6895,139.69171,2025-07-07T19:00,2,0.0,26.5,83
Tokyo,35.6895,139.69171,2025-07-07T20:00,2,0.0,26.2,79
Tokyo,35.6895,139.69171,2025-07-07T21:00,2,0.0,26.1,76
Tokyo,35.6895,139.69171,2025-07-07T22:00,3,0.0,25.9,81
Tokyo,35.6895,139.69171,2025-07-07T23:00,3,0.0,25.9,87
Tokyo,35.6895,139.69171,2025-07-08T00:00,3,0.0,26.2,92
Tokyo,35.6895,139.69171,2025-07-08T01:00,3,0.0,27.1,90
Tokyo,35.6895,139.69171,2025-07-08T02:00,3,0.0,28.3,88
Tokyo,35.6895,139.69171,2025-07-08T03:00,3,0.0,29.5,86
Tokyo,35.6895,139.69171,2025-07-08T04:00,3,0.0,30.7,87
Tokyo,35.6895,139.69171,2025-07-08T05:00,3,0.0,31.8,87
Tokyo,35.6895,139.69171,2025-07-08T06:00,3,0.0,32.7,88
